"","species_new","trait_ind","emb_ind","phylo_ind"
"531","Aegilops caudata",564,1126,33829
"532","Aegilops columnaris",565,1127,33826
"533","Aegilops comosa",566,1128,33832
"534","Aegilops crassa",567,1129,33830
"535","Aegilops cylindrica",568,1130,33834
"536","Aegilops geniculata",569,1131,33827
"537","Aegilops juvenalis",570,1132,33833
"538","Aegilops kotschyi",571,1133,33831
"539","Aegilops lorentii",572,1134,33825
"540","Aegilops neglecta",573,1135,33823
"541","Aegilops speltoides",574,1136,33837
"542","Aegilops tauschii",575,1137,33835
"543","Aegilops triuncialis",576,1138,33828
"544","Aegilops umbellulata",577,1139,33824
"545","Aegilops ventricosa",578,1140,33836
"546","Aegiphila anomala",580,1141,6123
"547","Aegiphila cephalophora",581,1143,6122
"548","Aegiphila costaricensis",582,1144,6121
"549","Aegiphila elata",583,1145,6125
"550","Aegiphila falcata",584,1146,6120
"551","Aegiphila integrifolia",585,1148,6118
"552","Aegiphila panamensis",586,1150,6116
"553","Aegopodium alpestre",587,1151,4449
"554","Aegopodium podagraria",588,1153,4451
"555","Aeluropus littoralis",589,1157,32419
"556","Aeollanthus pubescens",590,1159,6026
"557","Aerva javanica",591,1163,14218
"558","Aerva lanata",592,1164,14217
"559","Aerva leucura",593,1165,14215
"560","Aeschynomene abyssinica",595,1171,17173
"561","Aeschynomene afraspera",596,1172,17174
"562","Aeschynomene americana",597,1173,17184
"563","Aeschynomene amorphoides",598,1174,17172
"564","Aeschynomene baumii",599,1175,17171
"565","Aeschynomene bracteosa",600,1176,17170
"566","Aeschynomene brevifolia",601,1177,17163
"567","Aeschynomene elaphroxylon",602,1179,17176
"568","Aeschynomene elegans",603,1180,17165
"569","Aeschynomene falcata",604,1181,17164
"570","Aeschynomene indica",605,1182,17182
"571","Aeschynomene schimperi",606,1183,17175
"572","Aeschynomene sensitiva",607,1184,17168
"573","Aeschynomene tenuirama",608,1185,17167
"574","Aesculus californica",610,1188,25923
"575","Aesculus flava",611,1189,25928
"576","Aesculus glabra",612,1190,25926
"577","Aesculus hippocastanum",613,1191,25924
"578","Aesculus pavia",614,1193,25927
"579","Aesculus sylvatica",615,1194,25929
"580","Aetheorhiza bulbosa",616,1200,194
"581","Aethionema arabicum",617,1201,24259
"582","Aethionema grandiflorum",618,1202,24256
"583","Aethionema saxatile",619,1203,24258
"584","Aethusa cynapium",620,1206,4364
"585","Aextoxicon punctatum",621,1207,14834
"586","Afraegle paniculata",622,1209,25521
"587","Afrocanthium lactescens",623,1213,9488
"588","Afrocarpus falcatus",624,1214,38121
"589","Afrocarpus gracilior",625,1215,38122
"590","Afroligusticum linderi",626,1216,4386
"591","Afrosciadium kerstenii",627,1219,4214
"592","Afrostyrax lepidophyllus",628,1220,23274
"593","Afzelia bella",629,1222,18338
"594","Afzelia quanzensis",630,1223,18339
"595","Agalinis communis",631,1225,6579
"596","Agalinis densiflora",632,1226,6578
"597","Agalinis heterophylla",633,1232,6591
"598","Agalinis maritima",634,1234,6585
"599","Agalinis purpurea",635,1237,6583
"600","Agalinis tenuifolia",636,1239,6588
"601","Agapanthus praecox",637,1242,31197
"602","Agarista eucalyptoides",638,1243,11376
"603","Agarista populifolia",639,1244,11375
"604","Agarista salicifolia",640,1245,11374
"605","Agastache urticifolia",641,1247,5860
"606","Agathis borneensis",645,1251,38143
"607","Agathis lanceolata",646,1252,38147
"608","Agathis ovata",647,1255,38144
"609","Agathis robusta",648,1256,38142
"610","Agathisanthemum bojeri",643,1257,9025
"611","Agathisanthemum globosum",644,1258,9026
"612","Agathosma capensis",649,1259,25472
"613","Agathosma imbricata",650,1262,25469
"614","Agathosma serpyllacea",651,1263,25468
"615","Agave americana",653,1264,30881
"616","Agave deserti",654,1265,30878
"617","Agave lechuguilla",655,1266,30879
"618","Agave parryi",656,1267,30877
"619","Agave sisalana",657,1268,30880
"620","Agave utahensis",658,1269,30876
"621","Agelaea borneensis",660,1270,23201
"622","Agelaea macrophylla",661,1271,23202
"623","Agelaea pentagyna",662,1273,23203
"624","Agelanthus dodoneifolius",663,1275,14843
"625","Ageratina adenophora",665,1280,334
"626","Ageratina altissima",666,1281,331
"627","Ageratina glechonophylla",667,1285,335
"628","Ageratina mairetiana",668,1292,322
"629","Ageratina pichinchensis",669,1293,321
"630","Ageratina riparia",670,1295,333
"631","Ageratum conyzoides",672,1300,203
"632","Ageratum houstonianum",673,1301,204
"633","Aglaia argentea",675,1305,25569
"634","Aglaia cucullata",676,1310,25574
"635","Aglaia elaeagnoidea",677,1312,25561
"636","Aglaia forbesii",678,1315,25566
"637","Aglaia lawii",679,1317,25570
"638","Aglaia leptantha",680,1319,25565
"639","Aglaia odoratissima",681,1321,25560
"640","Aglaia rimosa",682,1324,25551
"641","Aglaia rubiginosa",683,1325,25573
"642","Aglaia sapindina",684,1327,25552
"643","Aglaia silvestris",685,1328,25567
"644","Aglaia spectabilis",686,1329,25571
"645","Aglaia tenuicaulis",687,1332,25558
"646","Aglaia tomentosa",688,1333,25556
"647","Aglaia unifolia",689,1334,25548
"648","Agonandra brasiliensis",691,1336,15004
"649","Agonandra peruviana",692,1338,15002
"650","Agonandra silvatica",693,1340,15005
"651","Agoseris aurantiaca",694,1341,2973
"652","Agoseris glauca",695,1343,2971
"653","Agoseris heterophylla",696,1344,2975
"654","Agoseris retrorsa",697,1345,2974
"655","Agouticarpa isernii",698,1347,9416
"656","Agrimonia eupatoria",699,1350,18889
"657","Agrimonia gryposepala",700,1351,18886
"658","Agrimonia parviflora",701,1354,18884
"659","Agrimonia pilosa",702,1355,18890
"660","Agrimonia procera",703,1356,18883
"661","Agrimonia pubescens",704,1348,18887
"662","Agrimonia repens",705,1358,18882
"663","Agrimonia rostellata",706,1359,18881
"664","Agrimonia striata",707,1360,18880
"665","Agriophyllum squarrosum",708,1362,14154
"666","Agrocharis incognita",709,1363,4503
"667","Agropyron cristatum",711,1365,33754
"668","Agropyron desertorum",712,1366,33755
"669","Agropyron fragile",713,1367,33817
"670","Agropyron michnoi",714,1368,33752
"671","Agropyron mongolicum",715,1369,33753
"672","Agrostemma githago",716,1371,13264
"673","Agrostis aemula",718,1372,33495
"674","Agrostis agrostiflora",719,1373,33494
"675","Agrostis alpina",720,1374,33493
"676","Agrostis avenacea",721,1378,33520
"677","Agrostis canina",722,1382,33504
"678","Agrostis capillaris",723,1383,33508
"679","Agrostis castellana",724,1384,33507
"680","Agrostis clavata",725,1385,33497
"681","Agrostis curtisii",726,1386,33506
"682","Agrostis delicatula",727,1387,33521
"683","Agrostis divaricatissima",728,1388,33487
